Study,Aims,Country,Place,Target,RPAS platform,Payload,Costs
[@lobermeier_mitigating_2015],Mitigate the risk of collision by installing markers on electrical lines,USA,?,Birds,Rotor-wing: Mikrokopter Hexa XL,KX 171 Microcam ,?
[@margarita_mulero-pazmany_juan_jose_negro_low_2014}],Bird risk hazards in power lines,Spain,Doñana National Park,Birds,ixed-wing: Easy fly St-330 ,GoPro HERO2 11MP;Panasonic LX3 11MP,$ 8863
[@mulero-pazmany_remotely_2014],Anti-poaching,Africa,KwaZulu-Nata,"Black rhinocero (*Diceros bicornis*), white rhinocero (*Ceratotherium simum*)",Fixed-wing: Easy Fly St-330,"Panasonic Lumix LX-3 11 MP, GoPro Hero2; Thermoteknix Micro CAM microbolometer",$ 15700
[@hansen_applying_2016],Visitors Surveillance,Sweden,Sweden & Kosterhavet National Park,Humans,?,?,?
[@sabella_preliminary_2017],Visitors Surveillance,Italy, R.N.O. Oasi faunistica di Vendicari,Humans,Rotor-wing: DJI Phantom 3 ,?,?
[@king_will_2014],RPAS applications in ecotourism activities,Sweeden,Sweeden & Kosterhavet National Park,Humans,?,?,?
[@vas_approaching_2015],RPAS impact,France,"Zoo du Lunaret, Cros Martin Natural Area","*Anas platyrhyncho*, *Phoenicopterus roseus*, *Tringa nebularia* ",Rotor-wing: Phantom,GoPro HERO3,?
[@weissensteiner_low-budget_2015],RPAS Impact,Sweeden,?,Hooded crow (*Corvus corone cornix*),Rotor-wing: DJI Phantom 2 Vision,?,$ 1000
ENVIRONMENTAL MONITORING AND DECISION SUPPORT,,,,,,,
[@zang_investigating_2012],Pollution monitoring ,China,Several cities,Rivers,Fixed-wing ,"Canon 50D, ACD multispectral camera",?
[@cornell_use_2016],Water sampling ,USA,Lake Ontari0,?,Rotor-wing: DJI Phantom 3,50mL Falcon tube,?
[@mccaldin_use_2015],Aerial baiting,Australia,Christmas Island , Cat (*Felis catus*),Rotor-wing: V-TOL Hornet I-II,Canon S100; Drop mechanism with HD Video Recorder,?
[@fornace_mapping_2014], Spatial epidemiology,Malaysia / Philippines,Sabah / Palawan ,?,Fixed-wing: Sensefly eBee ,16mp ,$ 25000 
[@van_tilburg_first_2017],Search and Rescue (SAR),USA,Columbia Gorge National Scenic Area ,Humans,"Rotor-wing: Phantom 3, SAR Bot,  Inspire 1", DJI 12MP; VUE PRO 640 thermal imager,?
[@schwarzbach_remote_2014],Water sampling ,Spain,Doñana N.P.,Freshwater ecosystems,Rotor-wing: Helicopter,Water sampling mechanism,?
 [@schmale_development_2008],Aerobiological sampling,USA,Virginia Tech’s Kentland Farm ,Prokaryotic and eukaryotic microorganisms, Fixed-wing: Senior Telemaster, Aerobiological sampling devices ,?
