Study,Keywords,Aims,Country,Place,Target,RPAS platform,Payload,Costs,
[@rodriguez_eye_2012],,UAS and GPS Data Loggers,Spain,Doñana National Park,Lesser kestrel (*Falco naumanni*),Fixed-wing: ST-model Easy Fly, Panasonic Lumix LX-3,-,
[@sarda-palomera_fine-scale_2012] ,"aerial survey, bird colony, investigator disturbance, remote sensing, waterbirds",Fine-scale bird monitoring,Spain,Estany d’Ivars i Vila-Sana,Black-headed Gull (*Chroicocephalus ridibundus*),,,-,
[@korner_autonomous_2010],,,,,,,,,
MONITORING OF TERRESTRIAL AND AQUATIC ECOSYSTEMS,,,,,,,,,
[@perroy_assessing_2017],, Tropical invasive plants,USA,"Pahoa, Hawai", *Miconia calvescens*,Rotor-wing: DJ Inspire-1,DJI FC350 camera,?,
[@szantoi_mapping_2017],, Habitat Mapping ,Indonesia, Gunung Leuser National Park, Orangutan (Pongo abelii),Fixed-wing: Skywalker,Canon S100,$ 4000,
[@casella_mapping_2017],,Coral reef mapping,French Polynesia,"Tiahura,; Moorea ",Coral reef , Rotor-wing: DJI Phantom 2 , Modified GoPro HERO4 ,$ 1678,
[@casella_drones_2016],,Monitoring coastal erosion dynamics in shorelines, French Polynesia,Tiahura; Moorea,Coral reef , Rotor-wing: Mikrokopter Okto XL,Canon G11,$ 7500,
[@mullerova_does_2016],,Monitoring plant invasion,?,?,Exotic species,Fixed-wing: VUT 712 713  720 ,Canon S100 ,?,
[@ventura_low-cost_2016],,Marine fish nursery areas mapping ,Italy,Giglio Island ,Marine fish nursery areas ,Rotor-wing: homemade prototype,"Mobius HD, GoPro HERO3 Black Edition ",$ 100,
[@ivosevic_use_2015],,Habitat monitoring and modeling in restricted areas; RPAS performance test & South Korea & Chiaksan National Park;Taeanhaean National Park,South Korea,Chiaksan National Park;Taeanhaean National Park ,, Rotor-wing: DJI Phantom 2 Vision+,Full HD videos 1080p/30fps and 720p/60fps,?,
[@lisein_discrimination_2015],,Discrimination of deciduous species; Forest inventory,Belgium,Grand-Leez,"English oak, birches, sycamore maple ,common ash and poplars ", Fixed-wings: Gatewing X100 ,Ricoh GR2 GR3 GR4 10 megapixels CCD ,?,
[@puttock_aerial_2015],,Characterization of ecosystems affected by beaver activity ,UK,Devon Beaver Project site ,Eurasian beaver (*Castor fiber*),Rotor-wing: 3D Robotics Y6 ,anon ELPH 520 HS,?,
[@zahawi_using_2015],,Characterization of tropical forest structure for restoration actions,Costa Rica,Devon Beaver Project site,Several species,Rotor-wing: 3D Robotics Y6,Canon S100 ,$ 1500 ,
[@bustamante_forest_2015],,Forest monitoring,Brasil,"Riverine Forests (Permanent Protected Areas), Rio de Janeiro, Barrãcao do Mendes, Santa Cruz and São Lorenço",Riverbank forests,Rotor-wing: DJI Phantom Vision 2S,RGB digital camera 14MP ,$ 9700 ,
[@gini_aerial_2012],,3D modeling and classification of tree species,Italy,Parco Adda Nord,Several species,Rotor-wing: Microdrones TM MD4-200, RGB CCD 12 megapixels Pentax Optio A40; modified NIR Sigma DP1 with a Foveon X3 sensor,?,
[@miyamoto_use_2004],,Classification of species in wetlands,Japan,Kushiro Wetlands,Several species,Helium balloon,"NIKON F-801, NIKKOR 28 mm f/2.8 ",$ 1600,
[@casella_mapping_2017],, Mapping coral reefs,?,?,?,Rotor.wing: DJI Phantom 2,GoPro HERO4 ,?,
" INFRASTRUCTURES AND RISK ASSESSMENT, ECOTOURISM, IMPACT ON WILDLIFE AND ECOSYSTEMS",,,,,,,,,
[@lobermeier_mitigating_2015],,Mitigate the risk of collision by installing markers on electrical lines,USA,?,Birds,Rotor-wing: Mikrokopter Hexa XL,KX 171 Microcam ,?,
[@margarita_mulero-pazmany_juan_jose_negro_low_2014}],,Bird risk hazards in power lines,Spain,Doñana National Park,Birds,ixed-wing: Easy fly St-330 ,GoPro HERO2 11MP;Panasonic LX3 11MP,$ 8863,
[@mulero-pazmany_remotely_2014],,Anti-poaching,Africa,KwaZulu-Nata,"Black rhinocero (*Diceros bicornis*), white rhinocero (*Ceratotherium simum*)",Fixed-wing: Easy Fly St-330,"Panasonic Lumix LX-3 11 MP, GoPro Hero2; Thermoteknix Micro CAM microbolometer",$ 15700,
[@hansen_applying_2016],,Visitors Surveillance,Sweden,Sweden & Kosterhavet National Park,Humans,?,?,?,
[@sabella_preliminary_2017],,Visitors Surveillance,Italy, R.N.O. Oasi faunistica di Vendicari,Humans,Rotor-wing: DJI Phantom 3 ,?,?,
[@king_will_2014],,RPAS applications in ecotourism activities,Sweeden,Sweeden & Kosterhavet National Park,Humans,?,?,?,
[@vas_approaching_2015],,RPAS impact,France,"Zoo du Lunaret, Cros Martin Natural Area","*Anas platyrhyncho*, *Phoenicopterus roseus*, *Tringa nebularia* ",Rotor-wing: Phantom,GoPro HERO3,?,
[@weissensteiner_low-budget_2015],,RPAS Impact,Sweeden,?,Hooded crow (*Corvus corone cornix*),Rotor-wing: DJI Phantom 2 Vision,?,$ 1000,
ENVIRONMENTAL MONITORING AND DECISION SUPPORT,,,,,,,,,
[@zang_investigating_2012],,Pollution monitoring ,China,Several cities,Rivers,Fixed-wing ,"Canon 50D, ACD multispectral camera",?,
[@cornell_use_2016],,Water sampling ,USA,Lake Ontari0,?,Rotor-wing: DJI Phantom 3,50mL Falcon tube,?,
[@mccaldin_use_2015],,Aerial baiting,Australia,Christmas Island , Cat (*Felis catus*),Rotor-wing: V-TOL Hornet I-II,Canon S100; Drop mechanism with HD Video Recorder,?,
[@fornace_mapping_2014],, Spatial epidemiology,Malaysia / Philippines,Sabah / Palawan ,?,Fixed-wing: Sensefly eBee ,16mp ,$ 25000 ,
[@van_tilburg_first_2017],,Search and Rescue (SAR),USA,Columbia Gorge National Scenic Area ,Humans,"Rotor-wing: Phantom 3, SAR Bot,  Inspire 1", DJI 12MP; VUE PRO 640 thermal imager,?,
[@schwarzbach_remote_2014],,Water sampling ,Spain,Doñana N.P.,Freshwater ecosystems,Rotor-wing: Helicopter,Water sampling mechanism,?,
 [@schmale_development_2008],,Aerobiological sampling,USA,Virginia Tech’s Kentland Farm ,Prokaryotic and eukaryotic microorganisms, Fixed-wing: Senior Telemaster, Aerobiological sampling devices ,?,
